"subsidiary | has subsidiary","Amazon Robotics | Alexa Internet | Amazon Games | Amazon Books | Souq.com | Whole Foods Market | MGM Holdings | Amazon Logistics | A9.com | Body Labs | Goodreads | Woot | Amazon Fresh | Zappos | Amazon Lab126 | Digital Photography Review | Amazon Publishing | Amazon Air | Twitch Interactive | Book Depository | Graphiq | Amazon Web Services | Amazon Pharmacy | Amazon.com | AbeBooks | Ring Inc. | Zoox Inc | PillPack | Amazon Studios | ComiXology | Amazon Prime Video | Box Office Mojo | Amazon Prime Air | Sqrrl | IMDb.com, Inc. | Amazon Technologies | Amazon MGM Studios","","Audible | Blink | Ring","Amazon Czech Republic Services | Audible (service) | IMDb | Amazon Europe Core | Amazon Logistic Prague | Blink Home | Double Helix Games | Amazon University Esports | Diapers.com","Amazon_Studios | Amazon.com | IMDb.com, Inc. | IMDb | Amazon Prime Air | PillPack | Ring | Ring_Inc. | Zoox_Inc | Amazon Europe Core | Amazon Logistic Prague | Audible_(service) | Double Helix Games | Sqrrl | ComiXology | AbeBooks | Amazon Czech Republic Services | Blink_Home | Amazon MGM Studios | Amazon Technologies | Audible | Amazon Prime Video | Amazon University Esports | Amazon_Pharmacy | Box Office Mojo | Diapers.com"
"parent | parent | parent organization","Amazon Fresh | Zappos | Amazon Publishing | Amazon Prime Video | Amazon Air | Amazon Prime Air | Book Depository | Amazon Web Services | Amazon Pharmacy | LoveFilm | Amazon Games | Mobipocket | Whole Foods Market | Amazon Go | AbeBooks | A9.com | Sqrrl | Woot | Amazon Locker | Blink","","Graphiq | Ring | Amazon Business | Amazon Lab126 | INLT | Audible | Amazon Marketplace | Amazon Studios | Amazon Freevee | IMDb.com, Inc. | Annapurna Labs | Umbra | PillPack | Amazon Robotics | Zoox | Goodreads, Inc. | Kindle Direct Publishing | Amazon Pay | Twitch | CreateSpace.com | Amazon MGM Studios | Amazon Technologies | Amazon Books | Amazon Logistics | Kuiper Systems | Box Office Mojo | Souq.com | Body Labs","Amazon.com, Inc.","MGM_Holdings | Graphiq | Lake Union Publishing | Ring | Souq.com | Amazon Business | AVCREC | Amazon Lab126 | Brilliance Audio | Amazon Czech Republic Services | Twitch Interactive | Blink_Home | INLT | Blink | Audible | Kindle_Direct_Publishing | Amazon Marketplace | Internet Game Database | Amazon University Esports | Amazon_Studios | Zoox_(company) | Alexa Internet | IMDb.com, Inc. | Annapurna Labs | PillPack | Digital Photography Review | Amazon_Freevee | Amazon Robotics | Amazon Europe Core | Amazon Logistic Prague | Reflexive Entertainment | Goodreads, Inc. | Zoox | Double_Helix_Games | Twitch_(service) | Umbra_(3D_technology_company) | CreateSpace.com | Amazon MGM Studios | Camelcamelcamel | Amazon_Pay | Amazon Technologies | Amazon.in | Amazon Clinic | Amazon Books | Amazon Logistics | Kuiper Systems | Merch by Amazon | Box Office Mojo | Diapers.com | TenMarks_Education,_Inc. | Body Labs"
"founder | foundedBy | founded by","Jeff Bezos | Climate Pledge Fund | Amazon Go | Matter | Overture Maps Foundation | Partnership on AI | Amazon Prime Video | ddeX | Alliance for Open Media | Internet Association","","","","Partnership on AI | Matter | Amazon Go | Overture Maps Foundation | ddeX | Amazon Prime Video | Internet Association | Alliance for Open Media"
"industry | industry","e-commerce | Supermarket | Entertainment | Consumer electronics | Digital distribution | Self-driving cars | Artificial intelligence","","Cloud Computing | retail | web hosting | web service","Web service | Web hosting | Cloud computing | Retail","Artificial_intelligence | Digital_distribution | Self-driving_cars | Consumer_electronics | web service | Cloud_Computing | web hosting | Supermarket | Entertainment | retail"
"manufacturer | creator","Amazon_Astro | Amazon_Echo | Amazon_Echo_Show | Obidos","","","","Amazon_Echo | Obidos | Amazon_Echo_Show | Amazon_Astro"
"platforms | platform","","","Mordheim:_Warband_Skirmish | War_Robots | Airport City | Pixel_Gun_3D","","Mordheim:_Warband_Skirmish | Airport City | Pixel_Gun_3D | War_Robots"
"occupation | field of work","","","Thomas O. Ryder | Katherine Boehret | Sabrina Apicella","","Thomas_O._Ryder | Sabrina Apicella | Katherine_Boehret"
"company | production company","Mozart in the Jungle | Jean-Claude Van Johnson | Evangelion: 1.0 You Are (Not) Alone (Amazon dub) | La Tête dans les étoiles | Evangelion: 2.0 You Can (Not) Advance (Amazon dub)","","Ten Percent","Ten_Percent_(TV_series)","La Tête dans les étoiles | Jean-Claude Van Johnson | Evangelion: 1.0 You Are (Not) Alone (Amazon dub) | Evangelion: 2.0 You Can (Not) Advance (Amazon dub) | Ten_Percent_(TV_series) | Mozart in the Jungle"
"locationCity | hqLocationCity | headquarters location","","Seattle | Washington","Seattle, Washington","Seattle - Washington and Arlington - Virginia","Seattle | Seattle, Washington and Arlington, Virginia | Arlington,_Virginia | Washington | Seattle,_Washington"
"name | official name","Amazon.com, Inc.","","","AMAZON.COM, INC.","Cadabra, Inc. | amazon.com | AMAZON.COM, INC. | Amazon.com, Inc."
"type | instance of | legal form","public company | E-commerce | very large online platform | business | enterprise | corporation","","","","business | enterprise | corporation | very large online platform | E-commerce"
